Name,Lat,Lng,Address,Features,Agoda
Sukiyabashi Jiro Ginza,35.6723,139.7645,"Ginza, Tokyo","Edomae, Omakase, Michelin 3-Star",
Sushi Saito,35.6661,139.7397,"Minato, Tokyo","Omakase, Premium, Michelin Star",
Sushi Sugita,35.6828,139.7845,"Chuo, Tokyo","Edomae, Omakase, Legendary",
Sushi Yoshitake,35.6698,139.7621,"Chuo, Tokyo","Omakase, Premium, Michelin Star",
Sushi Arai,35.6687,139.7612,"Ginza, Tokyo","Omakase, Premium, Tuna Expert",
Sushi Amamoto,35.6621,139.7289,"Minato, Tokyo","Omakase, Premium, Hard to Book",
Sushi Inomata,35.8012,139.7214,"Kawaguchi, Saitama","Edomae, Omakase, Local Gem",
Sushi No Midori Shibuya,35.6585,139.7013,"Shibuya, Tokyo","Affordable, Premium, Local Gem",
Sushiro Shinjuku,35.6908,139.7042,"Shinjuku, Tokyo","Kaiten, Affordable, Solo Friendly",
Kura Sushi Asakusa,35.7121,139.7915,"Asakusa, Tokyo","Kaiten, Family Friendly, Modern",
Genki Sushi Shibuya,35.6605,139.6998,"Shibuya, Tokyo","Kaiten, Affordable, Popular",
Uogashi Nihon-ichi Shinjuku,35.6896,139.6967,"Shinjuku, Tokyo","Standing Sushi, Fast, Affordable",
Sushi Zanmai Tsukiji,35.6657,139.7705,"Tsukiji, Tokyo","Famous, Seafood, Open 24h",
Itamae Sushi Edo,35.6675,139.7345,"Minato, Tokyo","Edomae, Tourist Friendly, Premium",
Sushi Katsura,35.6631,139.7712,"Tsukiji, Tokyo","Affordable, Lunch Special, Authentic",
Hanamaru Ginza,35.6721,139.7635,"Ginza, Tokyo","Kaiten, Hokkaido Style, Premium",
Sushidokoro Sato,35.6701,139.7642,"Ginza, Tokyo","Omakase, Hidden Gem, Premium",
Sushi Kanesaka,35.6711,139.7631,"Ginza, Tokyo","Edomae, Traditional, Michelin Star",
Sushi Hashimoto,35.6741,139.7752,"Chuo, Tokyo","Omakase, Rising Star, Premium",
Sushi Tokami,35.6691,139.7615,"Ginza, Tokyo","Tuna Expert, Omakase, Michelin Star",
Manten Sushi Marunouchi,35.6785,139.7621,"Chiyoda, Tokyo","Affordable Omakase, Popular, Fresh",
Sushi Shin,35.6591,139.7252,"Minato, Tokyo","Omakase, Creative, Premium",
Kyubey Shinjuku,35.6891,139.6942,"Shinjuku, Tokyo","Traditional, Luxury, Edomae",
Sushi Ten Ginza,35.6685,139.7625,"Ginza, Tokyo","Modern, Omakase, Stylish",
Numazuko Shinjuku,35.6912,139.7025,"Shinjuku, Tokyo","Kaiten, Large Toppings, Popular",
Hina Sushi Ginza,35.6731,139.7645,"Ginza, Tokyo","All You Can Eat, Premium, Seafood",
Sushi Misaki-maru,35.7012,139.7715,"Ueno, Tokyo","Affordable, Fresh, Fast",
Sushi Roppei,35.6625,139.7231,"Roppongi, Tokyo","Omakase, Modern, Premium",
Uobei Shibuya,35.6601,139.6985,"Shibuya, Tokyo","Kaiten, High-tech, Affordable",
Sushidokoro Yamada,35.6681,139.7618,"Ginza, Tokyo","Omakase, Expert, Premium",
Sushi Ishijima,35.6745,139.7725,"Ginza, Tokyo","Traditional, Affordable Lunch, Edomae",
Sushi Akira,35.6595,139.7215,"Minato, Tokyo","Small Counter, Omakase, Premium",
Sushi Taku,35.6598,139.7245,"Nishiazabu, Tokyo","Creative, Omakase, Michelin Star",
Sushi Sawada,35.6715,139.7635,"Ginza, Tokyo","Masterpiece, Omakase, Michelin Star",
Sushi Namba Hibiya,35.6738,139.7592,"Chiyoda, Tokyo","Omakase, Precision, Premium",
Sushi Kimura,35.6125,139.6254,"Setagaya, Tokyo","Aged Sushi, Unique, Michelin Star",
Sushi Miyakawa,43.0551,141.3325,"Sapporo, Hokkaido","Omakase, Premium, Michelin Star",
Sushizen Sapporo,43.0645,141.3412,"Sapporo, Hokkaido","Traditional, Luxury, Hokkaido Style",
Nemuro Hanamaru Sapporo,43.0685,141.3501,"Sapporo, Hokkaido","Kaiten, Hokkaido Fresh, Popular",
Sushi Tanabe,43.0652,141.3512,"Sapporo, Hokkaido","Omakase, Premium, Michelin Star",
Isezushi Otaru,43.1945,140.9942,"Otaru, Hokkaido","Hokkaido Style, Local Gem, Premium",
Sushi Masa Otaru,43.1952,141.0012,"Otaru, Hokkaido","Traditional, Otaru Expert, Fresh",
Sushidokoro Arima,43.0545,141.3542,"Sapporo, Hokkaido","Omakase, Local Gem, Premium",
Sushi Saeki Osaka,34.6951,135.5012,"Kita, Osaka","Omakase, Premium, Michelin Star",
Sushi Harasho,34.6612,135.5214,"Tennoji, Osaka","Traditional, Omakase, Michelin Star",
Sushi Hoshiyama,34.6985,135.4985,"Kita, Osaka","Edomae Style, Premium, Omakase",
Endo Sushi Osaka,34.6845,135.4812,"Fukushima, Osaka","Market Fresh, Warm Rice, Legendary",
Chojiro Shinsaibashi,34.6712,135.5015,"Chuo, Osaka","Kaiten, Premium, Family Friendly",
Kura Sushi Namba,34.6652,135.5012,"Namba, Osaka","Kaiten, Affordable, Fun",
Daiki Suisan Dotonbori,34.6685,135.5025,"Dotonbori, Osaka","Seafood, Affordable, Fresh",
Sushi Ogasawara,34.6981,135.5035,"Kita, Osaka","Omakase, Hidden Gem, Premium",
Ganko Sushi Dotonbori,34.6689,135.5031,"Dotonbori, Osaka","Traditional, Tourist Friendly, Affordable",
Sushi Matsumoto 교토,34.9995,135.7752,"Gion, Kyoto","Edomae Style, Michelin Star, Premium",
Sushi Iwa,34.9895,135.7592,"Shimogyo, Kyoto","Luxury, Omakase, Legendary",
Sushi Wakon,34.9912,135.7725,"Higashiyama, Kyoto","Premium, Omakase, High-end",
Gion Sushi Tadatama,35.0012,135.7745,"Gion, Kyoto","Local Gem, Traditional, Omakase",
Sushi Amamoto Fukuoka,33.5852,130.3945,"Chuo, Fukuoka","Omakase, Premium, Michelin Star",
Sushi Sakai,33.5912,130.3985,"Chuo, Fukuoka","Omakase, Premium, Michelin Star",
Yamanaka Sushi Fukuoka,33.5845,130.4012,"Chuo, Fukuoka","Modern, Luxury, Fukuoka Style",
Tatsumi Sushi Fukuoka,33.5951,130.4052,"Hakata, Fukuoka","Creative, Local Gem, Premium",
Hyoutan Sushi Fukuoka,33.5912,130.3995,"Tenjin, Fukuoka","Popular, Long Queue, Affordable",
Sushi Otome,33.5895,130.3942,"Chuo, Fukuoka","Authentic, Local Gem, Omakase",
Sushi Koizumi,34.3412,134.0452,"Takamatsu, Kagawa","Omakase, Local Gem, Premium",
Sushi Ichi,35.6721,139.7612,"Ginza, Tokyo","Traditional, Omakase, Michelin Star",
Sushi Ryujiro,35.6685,139.7152,"Minato, Tokyo","Rising Star, Omakase, Premium",
Sushi Takamitsu,35.6421,139.6912,"Meguro, Tokyo","Sea Urchin Expert, Modern, Premium",
Sushi Kumi,35.6695,139.7645,"Ginza, Tokyo","Traditional, Premium, Omakase",
Sushi Jikon,35.6681,139.7615,"Ginza, Tokyo","Omakase, Elegant, Premium",
Sushi Shintaro,35.6712,139.7635,"Ginza, Tokyo","Traditional, High-end, Edomae",
Sushi Tsubomi,35.6451,139.6952,"Meguro, Tokyo","Omakase, Senses, Premium",
Sushi Takao,35.6651,139.7345,"Minato, Tokyo","Local Gem, Premium, Omakase",
Sushi Kojima,35.6745,139.7712,"Ginza, Tokyo","Edomae Expert, Premium, Omakase",
Sushi Mitsukawa,36.5721,136.6612,"Kanazawa, Ishikawa","Local Fresh, Premium, Kanazawa Style",
Sushi Otomezushi,36.5612,136.6542,"Kanazawa, Ishikawa","Legendary, Kanazawa Style, Premium",
Kourin Sushi,36.5745,136.6645,"Kanazawa, Ishikawa","Traditional, Affordable Lunch, Fresh",
Sushi Mekumi,36.5125,136.6125,"Nonoichi, Ishikawa","Scientific, Unique, Michelin Star",
Sushidokoro Kiraku,34.8125,135.5645,"Ibaraki, Osaka","Omakase, Hidden Gem, Michelin Star",
Sushi Jin,36.6951,137.2142,"Toyama, Toyama","Toyama Bay Fresh, Local Gem, Premium",
Sushi Komada,34.7212,137.7312,"Hamamatsu, Shizuoka","Omakase, Premium, Local Gem",
Sushi Shunsuke,35.3312,139.4812,"Fujisawa, Kanagawa","Omakase, Edomae, Rising Star",
Sushi Kuriyagawa,35.6451,139.7112,"Shibuya, Tokyo","Omakase, Stylish, Creative",
Sushi M,35.6625,139.7145,"Minato, Tokyo","Sushi Pairing, Modern, Unique",
Sushidokoro Ishiyama,35.6712,139.7652,"Ginza, Tokyo","Omakase, Traditional, Premium",
Sushi Takumi,35.6851,139.7212,"Shinjuku, Tokyo","Traditional, Edomae, Premium",
Sushi Rinda,35.6285,139.7112,"Meguro, Tokyo","Fun Atmosphere, Omakase, Premium",
Sushi Takigami,35.7145,139.7812,"Asakusa, Tokyo","Edomae, Traditional, Michelin Star",
Sushi Kyotatsu,35.5485,139.7845,"Haneda, Tokyo","Airport Sushi, High Quality, Fast",
Sushi Misaki,35.6812,139.7645,"Tokyo Station, Tokyo","Edomae, Fast, Premium",
Sushi Katana,35.6685,139.7612,"Ginza, Tokyo","Hidden Gem, Omakase, Premium",
Sushi Yuu,35.6612,139.7285,"Nishiazabu, Tokyo","Friendly Master, Premium, Omakase",
Sushi Sho,35.6845,139.7245,"Yotsuya, Tokyo","Legendary, Creative, Edomae",
Sushi Kurosaki,35.6551,139.7042,"Shibuya, Tokyo","Omakase, Modern, Michelin Star",
Sushi Ten,35.6712,139.7655,"Ginza, Tokyo","Affordable Omakase, Stylish, Popular",
Sushi Yamaken,35.6715,139.7045,"Shinjuku, Tokyo","Luxury AYCE, Modern, Seafood",
Sushi Ginza Onodera,35.6705,139.7631,"Ginza, Tokyo","Global Famous, Luxury, Michelin Star",
Sushidokoro Ginza Fukusuke,35.6721,139.7651,"Ginza, Tokyo","Traditional, Department Store, Premium",
Sushiro Akihabara,35.6985,139.7712,"Akihabara, Tokyo","Kaiten, Affordable, Tourist Friendly",
Kura Sushi Ikebukuro,35.7291,139.7112,"Ikebukuro, Tokyo","Kaiten, Global Hub, Affordable",
Sushi Nomura,35.6645,139.7312,"Roppongi, Tokyo","Traditional, Edomae, Premium",
Sushi Fukuzushi,35.6612,139.7325,"Roppongi, Tokyo","Luxury, Traditional, Legendary",
Sushi Sho-ta,35.6685,139.7245,"Minato, Tokyo","Rising Star, Omakase, Michelin Star",
Sushi Ko,35.6712,139.7652,"Ginza, Tokyo","Historic, Traditional, Edomae",
Sushi Iwa Ginza,35.6681,139.7611,"Ginza, Tokyo","Traditional, Michelin Star, Premium",
Sushi Yoshi Osaka,34.6985,135.5015,"Kita, Osaka","Creative Sushi, Michelin 2-Star, Premium",
Sushi Shin Osaka,34.7312,135.5012,"Shin-Osaka, Osaka","Edomae, Convenient, Premium",
Sushidokoro Aman,34.6695,135.5012,"Namba, Osaka","Local Gem, Authentic, Omakase",
Sushi Masa Osaka,34.7012,135.5045,"Umeda, Osaka","Traditional, Affordable Lunch, Fresh",
Sushi Kageyama,34.6985,135.5012,"Kita, Osaka","Omakase, Hidden Gem, Premium",
Sushi Sanshin,34.6712,135.5125,"Chuo, Osaka","Rising Star, Omakase, Premium",
Sushi Ohata,34.6981,135.5015,"Kita, Osaka","Vinegar Expert, Omakase, Michelin Star",
Sushidokoro Tada,34.6951,135.4985,"Kita, Osaka","Omakase, Local Gem, Premium",
Sushi Jinsei,34.6712,135.5012,"Chuo, Osaka","Traditional, Omakase, High-end",
Sushi Kizuna,34.6945,135.5342,"Kyobashi, Osaka","Omakase, Value for Money, Michelin Star",
Sushi Gion Matsudaya,35.0012,135.7751,"Gion, Kyoto","Traditional, Edomae, Michelin Star",
Sushi Gion Kawakami,35.0021,135.7742,"Gion, Kyoto","Kyoto Style, Authentic, Premium",
Sushidokoro Man,35.0045,135.7612,"Nakagyo, Kyoto","Modern, Omakase, Fresh",
Kyoto Gion Hana-Sushi,35.0015,135.7752,"Gion, Kyoto","Traditional, Kaiseki Mix, Luxury",
Sushi Sei Kyoto,34.9851,135.7592,"Kyoto Station, Kyoto","Convenient, Fresh, Affordable",
Sushi Imai,33.5851,130.3942,"Chuo, Fukuoka","Omakase, Local Gem, Premium",
Sushidokoro Koga,33.5895,130.4012,"Chuo, Fukuoka","Traditional, Hakata Style, Omakase",
Sushi Yasuda,33.5812,130.3945,"Chuo, Fukuoka","Omakase, Fresh Catch, Premium",
Kaiten Sushi Katsumidori,35.6825,139.7112,"Meguro, Tokyo","Kaiten, Long Queue, Affordable",
Sushi Hisago,35.7012,139.7712,"Akihabara, Tokyo","Traditional, Authentic, Edomae",
Sushi Kappo Tamura,43.0552,141.3512,"Sapporo, Hokkaido","Kaiseki Style, Fresh, Premium",
Sushi Hime-shara,43.0512,141.3345,"Sapporo, Hokkaido","Omakase, Michelin 2-Star, Premium",
Sushi Dokoro Yoshi,43.1951,141.0012,"Otaru, Hokkaido","Local Catch, Fresh, Authentic",
Sushidokoro Otaru Masazushi,43.1945,141.0025,"Otaru, Hokkaido","Legendary, Otaru Expert, Large",
Sushi Dai,35.6445,139.7852,"Toyosu, Tokyo","Market Famous, Long Queue, Fresh",
Sushi Bun,35.6451,139.7842,"Toyosu, Tokyo","Historic, Market Style, Legendary",
Iwasa Sushi Toyosu,35.6452,139.7851,"Toyosu, Tokyo","Seafood Don, Market Fresh, Fast",
Sushi Sei Toyosu,35.6455,139.7845,"Toyosu, Tokyo","Modern, Market Style, Authentic",
Sushi Dokoro Yamazaki,35.6441,139.7855,"Toyosu, Tokyo","Omakase, Market Fresh, Popular",
Sushi Maru Shinjuku,35.6901,139.7021,"Shinjuku, Tokyo","Standing Sushi, Fast, Affordable",
Sushi Katsura Shinjuku,35.6885,139.7042,"Shinjuku, Tokyo","Affordable, Lunch, Authentic",
Sushidokoro Kuruma,35.6685,139.7612,"Ginza, Tokyo","Edomae, Traditional, Premium",
Sushi Taichi,35.6691,139.7621,"Ginza, Tokyo","Traditional, Focused Master, Michelin Star",
Sushi Takahashi,35.6712,139.7651,"Ginza, Tokyo","Rising Star, Omakase, Premium",
Sushi Takumi Shingo,35.6715,139.7185,"Minato, Tokyo","Omakase, High-end, Traditional",
Sushi Yu,35.6621,139.7282,"Minato, Tokyo","Friendly Master, Omakase, Premium",
Sushi Shin Nishiazabu,35.6591,139.7251,"Minato, Tokyo","Elegant, Omakase, Michelin Star",
Sushi Masamichi,35.6681,139.7345,"Minato, Tokyo","Omakase, Modern, Premium",
Sushi Kijima,33.5812,130.3942,"Chuo, Fukuoka","Hakata Style, Omakase, Premium",
Sushi Taketomi,33.5912,130.4112,"Hakata, Fukuoka","Traditional, Fresh, Local Gem",
Sushi Shiki,33.5845,130.3985,"Chuo, Fukuoka","Authentic, Affordable, Local Gem",
Sushi Ginnosara,35.6812,139.7612,"Chiyoda, Tokyo","Delivery Expert, Fast, Popular",
Sushi Choushimaru,35.7112,139.8112,"Sumida, Tokyo","Kaiten, Fresh, Family Friendly",
Sushi Dokoro Ginza Onodera Kaiten,35.6651,139.7042,"Omotesando, Tokyo","Premium Kaiten, Luxury, Popular",
Sushi No Midori Ginza,35.6685,139.7595,"Ginza, Tokyo","Long Queue, Value, Fresh",
Hanamaru KITTE Tokyo,35.6795,139.7652,"Chiyoda, Tokyo","Hokkaido Style, Fresh, Popular",
Sushi Daiwa Toyosu,35.6442,139.7854,"Toyosu, Tokyo","Legendary, Market Style, Fresh",
Sushi Ryusuke,35.6695,139.7612,"Ginza, Tokyo","Omakase, Creative, Premium",
Sushi Kouya,35.6812,139.7712,"Nihonbashi, Tokyo","Edomae, Traditional, Premium",
Sushi Yoshino,35.6851,139.7812,"Chuo, Tokyo","Local Gem, Traditional, Fresh",
Sushi Miyaba,35.6585,139.7512,"Minato, Tokyo","Edomae, Fast, Premium",
Sushi Tsubaki,35.6685,139.7612,"Ginza, Tokyo","Traditional, Luxury, Omakase",
Sushi Oumi,35.6691,139.7645,"Ginza, Tokyo","Traditional, Omakase, Premium",
Sushi Koike,35.6591,139.7212,"Minato, Tokyo","Omakase, Hidden Gem, Premium",
Sushi Kanesaka Palace Hotel,35.6845,139.7612,"Chiyoda, Tokyo","Luxury, High-end, Edomae",
Sushi Fukimoto,35.6712,139.7645,"Ginza, Tokyo","Rising Star, Omakase, Premium",
Sushi Ichikawa,35.6212,139.6512,"Setagaya, Tokyo","Omakase, Rice Expert, Michelin Star",
Sushi Keita,35.6631,139.7712,"Tsukiji, Tokyo","Omakase, Edomae, Michelin Star",
Sushi Mizukami,35.6812,139.7412,"Chiyoda, Tokyo","Jiro Discipline, Traditional, Premium",
Sushi Raku,35.6612,139.7345,"Minato, Tokyo","Modern, Omakase, Premium",
Sushi Taku Nishiazabu,35.6595,139.7242,"Minato, Tokyo","Stylish, Omakase, Michelin Star",
Sushi Ryuzaki,35.6685,139.7612,"Ginza, Tokyo","Omakase, High-end, Premium",
Sushi Ebisu,35.6451,139.7112,"Shibuya, Tokyo","Affordable, Local Gem, Fresh",
Sushi Kurosawa,35.6612,139.7345,"Roppongi, Tokyo","Luxury, Omakase, Premium",
Sushi Aoki,35.6712,139.7642,"Ginza, Tokyo","Legendary, Traditional, Edomae",
Sushi Matsumoto Akasaka,35.6712,139.7345,"Minato, Tokyo","Traditional, Michelin Star, Premium",
Sushi Bando,35.6812,139.7712,"Chiyoda, Tokyo","Omakase, Local Gem, Premium",
Sushi Shin Marunouchi,35.6821,139.7642,"Chiyoda, Tokyo","Edomae, Convenient, Premium",
Sushi Daizen,35.6712,139.7651,"Ginza, Tokyo","Traditional, Omakase, Premium",
Sushi Ichidun,35.6685,139.7612,"Ginza, Tokyo","Edomae, Luxury, Omakase",
Sushi Kojyu,35.6712,139.7635,"Ginza, Tokyo","Traditional, Omakase, Premium",
Sushi Sho-an,35.7012,139.7112,"Shinjuku, Tokyo","Hidden Gem, Authentic, Omakase",
Sushi Rin,35.6685,139.7152,"Minato, Tokyo","Modern, Stylish, Omakase",
Sushi Hanabusa,35.6651,139.7012,"Shibuya, Tokyo","Traditional, Edomae, Premium",
Sushi Miyagawa Tokyo,35.6712,139.7652,"Ginza, Tokyo","Omakase, Premium, Michelin Star",
Sushi Yoshi Tokyo,35.6651,139.7112,"Minato, Tokyo","Creative, Michelin 2-Star, Premium",
Sushi Oribe,35.6712,139.7641,"Ginza, Tokyo","Traditional, High-end, Omakase",
Sushi Ishidaya,35.6685,139.7612,"Ginza, Tokyo","Omakase, Traditional, Premium",
Sushi Koryu,35.6712,139.7645,"Ginza, Tokyo","Rising Star, Omakase, Premium",
Sushi Hanakoji,35.6712,139.7635,"Ginza, Tokyo","Modern, Omakase, Premium",
Sushi Tateno,35.6712,139.7642,"Ginza, Tokyo","Traditional, Edomae, Premium",
Sushi Zenidun,35.6712,139.7651,"Ginza, Tokyo","Edomae, Luxury, Premium",
Sushi Kanesaka Tokyo Station,35.6812,139.7645,"Chiyoda, Tokyo","Edomae, Convenient, Luxury",
Sushi Dokoro Ginza,35.6712,139.7642,"Ginza, Tokyo","Traditional, Premium, Omakase",
